day,date,time,operator,branch,driver,temperature,bill,pizzas
Thursday,01-May-14,43.10369097710708,Laura,West,Salvatore,75.80744432174217,37.6,2
Thursday,01-May-14,17.866322940178726,Laura,East,Bruno,66.22824417602544,19.5,1
Thursday,01-May-14,10.316035658487248,Melissa,East,Mario,71.46632077282031,41.3,3
Thursday,01-May-14,30.07773863811868,Laura,East,Bruno,51.52794209404622,35.3,3
Thursday,01-May-14,32.83221928472553,Laura,Centre,Mario,68.46039216774606,56.9,4
Thursday,01-May-14,16.262909901566466,Laura,West,Bruno,69.04812451192973,32.3,4
Thursday,01-May-14,27.466854178389603,Melissa,West,Salvatore,64.1456731792062,48.6,3
Thursday,01-May-14,24.43548100441442,Melissa,East,Salvatore,67.54786594134609,19.1,1
Thursday,01-May-14,26.020458124900216,Melissa,West,Salvatore,58.71747024658672,49.9,4
Thursday,01-May-14,31.374942533194258,Laura,Centre,Salvatore,65.20038112541546,48.8,3
Thursday,01-May-14,31.211656524883644,Melissa,West,Mario,50.23486775020993,48.0,3
Thursday,01-May-14,27.865846640469176,Laura,West,Mario,52.95197967133052,36.6,2
Thursday,01-May-14,25.19382331232069,Melissa,East,Salvatore,68.36791717486773,29.3,3
Thursday,01-May-14,24.726381156832485,Melissa,West,Salvatore,49.52492371442996,35.9,4
Thursday,01-May-14,36.550091729651655,Laura,Centre,Salvatore,66.75692628851839,51.6,4
Thursday,01-May-14,22.74722794364107,Laura,Centre,Bruno,60.102106889697275,45.2,3
Thursday,01-May-14,27.33584201853739,Melissa,West,Mario,73.71701756348045,43.3,2
Friday,02-May-14,22.354478455016608,Laura,East,Salvatore,51.963201420885134,37.2,3
Friday,02-May-14,34.84990636763405,Melissa,West,Bruno,52.139506901770744,42.3,7
Friday,02-May-14,26.901238861025515,Melissa,West,Luigi,73.65821678616388,48.4,3
Friday,02-May-14,34.346184626067036,Laura,Centre,Luigi,68.01204240181238,41.2,3
Friday,02-May-14,34.74178901018135,Laura,East,Mario,71.35626226166134,53.1,2
Friday,02-May-14,28.06218044935865,Melissa,East,Luigi,56.79726354493646,37.1,2
Friday,02-May-14,27.02761133174695,Melissa,West,Luigi,72.59284572380591,46.5,3
Friday,02-May-14,24.76273685565792,Laura,East,Mario,63.77499944514208,48.5,1
Friday,02-May-14,23.073501066249353,Melissa,West,Bruno,62.031932418971884,35.6,2
Friday,02-May-14,38.25208996230502,Laura,Centre,Salvatore,57.56303605267897,49.1,5
Friday,02-May-14,34.04830700347145,Melissa,West,Luigi,72.04636690459613,41.4,3
Friday,02-May-14,24.262346036979192,Melissa,Centre,Salvatore,62.7965957321784,47.9,4
Friday,02-May-14,23.222477657466595,Laura,West,Mario,60.38207555886841,38.6,3
Friday,02-May-14,29.612715797188145,Melissa,West,Luigi,64.84008184801056,47.8,1
Friday,02-May-14,33.02303888621263,Melissa,Centre,Mario,66.33050241140674,43.0,2
Friday,02-May-14,35.89297848815927,Laura,East,Salvatore,64.65965986970393,41.0,3
Friday,02-May-14,29.43052900696309,Melissa,West,Salvatore,56.47743784729106,47.0,4
Friday,02-May-14,32.74324836452535,Melissa,Centre,Luigi,57.98461207192636,35.6,4
Friday,02-May-14,16.45324195490153,Laura,Centre,Luigi,78.13626040885987,42.8,1
Friday,02-May-14,25.23701500197557,Melissa,Centre,Salvatore,59.533683673192776,60.6,3
Friday,02-May-14,29.45515259351789,Melissa,West,Luigi,66.27575272799268,42.8,4
Friday,02-May-14,32.147351270618444,Laura,East,Salvatore,63.14208826974585,52.8,4
Friday,02-May-14,28.22918863209758,Laura,East,Mario,68.80901154918399,10.8,1
Friday,02-May-14,23.215982397367377,Melissa,East,Luigi,71.98094651251446,43.2,1
Friday,02-May-14,36.057252593778564,Melissa,West,Bruno,54.74843491109114,52.4,3
Friday,02-May-14,17.391794008968112,Laura,East,Mario,65.27029623923156,50.5,3
Friday,02-May-14,24.52679671208527,Melissa,East,Bruno,68.90985334111384,35.5,1
Friday,02-May-14,42.69656669296487,Laura,West,Bruno,59.66912931969966,39.9,3
Friday,02-May-14,30.90918938396009,Melissa,East,Luigi,62.055849186407215,47.6,1
Friday,02-May-14,35.17669015889057,Melissa,West,Salvatore,57.62367111383254,36.4,3
Friday,02-May-14,30.99028493024045,Laura,Centre,Salvatore,72.81676270808501,37.4,3
Friday,02-May-14,27.447397749260148,Melissa,Centre,Luigi,69.33033661314514,49.0,3
Friday,02-May-14,26.55519891540423,Laura,East,Mario,62.241700370957794,33.0,3
Friday,02-May-14,34.97414006843632,Laura,West,Salvatore,60.204223119227095,31.9,4
Friday,02-May-14,22.74580272068611,Melissa,Centre,Bruno,56.51064980274529,44.2,3
Friday,02-May-14,25.497302141879874,Laura,Centre,Bruno,66.53604554484811,57.9,3
Friday,02-May-14,26.31422736922599,Laura,West,Bruno,75.81795996221837,42.1,3
Friday,02-May-14,29.404737724533682,Melissa,East,Luigi,90.25363006555,32.2,2
Friday,02-May-14,30.31167997425737,Laura,West,Mario,66.78829192410443,40.3,4
Friday,02-May-14,34.758713711433764,Laura,Centre,Luigi,63.43811616152956,38.9,3
Friday,02-May-14,34.02884543180599,Melissa,West,Luigi,70.92442462378376,46.3,1
Friday,02-May-14,32.486254291642936,Melissa,East,Luigi,63.442484235111294,63.9,3
Friday,02-May-14,30.55851651100223,Melissa,Centre,Bruno,57.51601458638992,57.4,3
Friday,02-May-14,26.447035015841347,Laura,West,Mario,64.99391067208549,34.1,3
Friday,02-May-14,30.92521196661049,Melissa,West,Salvatore,66.37469948505827,34.6,5
Friday,02-May-14,34.284707266643274,Melissa,West,Luigi,65.14046568169286,43.2,5
Friday,02-May-14,26.817358431933407,Melissa,West,Bruno,57.93647144348208,55.6,3
Friday,02-May-14,24.899068062078896,Melissa,Centre,Mario,70.80529596840933,34.5,4
Friday,02-May-14,21.09995092886583,Laura,West,Mario,69.13015201271013,31.8,2
Friday,02-May-14,33.077743184829934,Melissa,West,Luigi,59.493230472757034,36.4,1
Friday,02-May-14,37.413680836868295,Laura,East,Salvatore,73.84527398616619,31.7,1
Saturday,03-May-14,24.25916806842623,Laura,West,Mario,60.353990472061966,49.5,4
Saturday,03-May-14,38.873405979336944,Laura,West,Bruno,58.61501781058773,54.4,1
Saturday,03-May-14,36.850076305962745,Laura,West,Bruno,51.98698123283981,46.6,4
Saturday,03-May-14,30.9205755031212,Laura,Centre,Salvatore,63.37997405291228,43.0,4
Saturday,03-May-14,19.638678115902177,Melissa,West,Mario,62.97658630084522,23.7,1
Saturday,03-May-14,13.389490495766072,Melissa,Centre,Bruno,71.7392035664042,37.5,2
Saturday,03-May-14,28.717407159796856,Laura,West,Bruno,57.340828132569904,38.7,4
Saturday,03-May-14,25.366099170448226,Laura,West,Luigi,69.29772541371355,35.6,3
Saturday,03-May-14,21.991808474397253,Melissa,East,Domenico,75.1883388155272,28.2,4
Saturday,03-May-14,19.463137959964513,Melissa,West,Mario,58.00700929370037,38.1,3
Saturday,03-May-14,25.164560405688015,Melissa,Centre,Mario,60.843628095938904,67.6,5
Saturday,03-May-14,29.918851443607164,Melissa,West,Luigi,72.79466924371381,25.2,2
Saturday,03-May-14,29.725204179787998,Melissa,West,Salvatore,70.30058092273174,46.2,5
Saturday,03-May-14,31.070870754759532,Laura,Centre,Salvatore,59.45139256963128,40.4,2
Saturday,03-May-14,21.57393136557173,Laura,Centre,Salvatore,53.73688619067193,54.8,7
Saturday,03-May-14,25.278829865454988,Melissa,East,Luigi,73.054340135459,28.6,2
Saturday,03-May-14,28.29840882097725,Melissa,West,Mario,53.56694340740133,28.3,2
Saturday,03-May-14,38.64984339950989,Melissa,Centre,Mario,73.47296096906162,26.0,2
Saturday,03-May-14,32.780279102964975,Laura,Centre,Mario,68.46729641918118,44.0,6
Saturday,03-May-14,32.89302430986444,Melissa,Centre,Salvatore,60.27880035954578,45.6,4
Saturday,03-May-14,33.499754076086944,Laura,Centre,Mario,70.28846518018446,52.3,3
Saturday,03-May-14,29.921762818833514,Laura,West,Luigi,70.25787258666622,45.5,2
Saturday,03-May-14,28.38765102354186,Laura,East,Luigi,63.16476146161411,47.4,2
Saturday,03-May-14,29.0781449293078,Laura,Centre,Luigi,77.58077936620667,31.4,5
Saturday,03-May-14,31.892939155705953,Laura,East,Salvatore,67.53189867251072,42.4,2
Saturday,03-May-14,37.59285060569978,Laura,East,Domenico,64.05364602539261,23.5,2
Saturday,03-May-14,30.815724207035778,Melissa,East,Domenico,66.05896039096012,44.6,2
Saturday,03-May-14,29.41760789589724,Laura,East,Bruno,61.07503716437768,41.3,3
Saturday,03-May-14,23.66600857064657,Laura,West,Mario,74.65640997642919,47.2,4
Saturday,03-May-14,28.340585833672808,Laura,West,Bruno,49.988095413475406,36.0,5
Saturday,03-May-14,22.27852571357744,Laura,East,Mario,70.33455993514687,36.8,3
Saturday,03-May-14,30.375228233604254,Melissa,Centre,Domenico,57.91221991480484,29.8,1
Saturday,03-May-14,27.856085429797577,Melissa,West,Salvatore,52.02576813388982,41.8,2
Saturday,03-May-14,30.427254519996247,Melissa,East,Bruno,52.614030192041284,38.0,3
Saturday,03-May-14,38.847215253337886,Melissa,East,Luigi,62.32687847802871,19.6,1
Saturday,03-May-14,27.75414593672573,Melissa,West,Mario,56.55087845417071,42.2,3
Saturday,03-May-14,26.793858117225362,Melissa,East,Mario,65.61878735120051,33.7,2
Saturday,03-May-14,33.616363501936895,Melissa,Centre,Bruno,79.01014980583751,35.6,3
Saturday,03-May-14,24.597366736238317,Melissa,East,Domenico,73.76406962780807,31.3,3
Saturday,03-May-14,23.82134466695676,Laura,East,Mario,59.70264935348878,38.6,6
Saturday,03-May-14,28.924152899380175,Laura,West,Bruno,61.137018879666,50.7,5
Saturday,03-May-14,32.588533270967694,Laura,West,Salvatore,70.82980227715198,30.6,4
Saturday,03-May-14,31.568524271628924,Melissa,East,Domenico,59.34649614141361,22.4,2
Saturday,03-May-14,23.211715461398505,Melissa,West,Salvatore,69.60971728946325,45.5,5
Saturday,03-May-14,22.16606182266408,Melissa,West,Bruno,73.70776905710287,42.1,3
Saturday,03-May-14,34.5711763374157,Melissa,East,Domenico,62.898396084946384,35.2,2
Saturday,03-May-14,28.96513044312706,Melissa,Centre,Salvatore,63.41862440660746,59.6,3
Saturday,03-May-14,22.30990726145141,Laura,West,Mario,69.71576343343266,36.2,2
Saturday,03-May-14,20.307366783686593,Laura,Centre,Salvatore,68.2689865321185,44.9,4
Saturday,03-May-14,39.54704254306806,Melissa,West,Bruno,62.76921470889863,30.1,1
Saturday,03-May-14,28.952826194168328,Laura,Centre,Mario,64.48928545410905,48.6,3
Saturday,03-May-14,24.52816852794781,Melissa,Centre,Salvatore,58.28825571610086,53.7,6
Saturday,03-May-14,31.78758445059373,Melissa,East,Luigi,72.77425603458627,50.4,6
Sunday,04-May-14,20.764958005363262,Laura,Centre,Mario,57.9459525227811,55.7,4
Sunday,04-May-14,26.89366753320021,Melissa,Centre,Salvatore,76.09394378242322,47.7,4
Sunday,04-May-14,41.691276066608,Melissa,East,Domenico,59.980746674935325,41.9,1
Sunday,04-May-14,43.627628958496274,Melissa,West,Mario,55.02807373961657,35.3,5
Sunday,04-May-14,37.20150212398345,Laura,East,Domenico,70.60500619698004,24.6,5
Sunday,04-May-14,35.10482136569866,Laura,Centre,Salvatore,65.03122407398266,47.8,2
Sunday,04-May-14,26.64453643005748,Melissa,East,Domenico,72.42826031076652,34.3,3
Sunday,04-May-14,33.59541598489136,Laura,Centre,Luigi,75.60990678502866,41.6,3
Sunday,04-May-14,30.028834460181564,Laura,West,Mario,60.03203786586936,44.9,4
Sunday,04-May-14,27.77543870088408,Laura,Centre,Bruno,70.83456852777793,39.7,2
Sunday,04-May-14,34.82359111686033,Laura,Centre,Mario,71.69988151538108,53.6,4
Sunday,04-May-14,34.98242255415557,Laura,Centre,Luigi,68.73390397989392,46.0,3
Sunday,04-May-14,20.173753313409087,Laura,Centre,Luigi,56.96240845597376,52.2,4
Sunday,04-May-14,22.971916080063906,Laura,West,Mario,71.82672267143704,39.9,2
Sunday,04-May-14,34.365398856711245,Melissa,Centre,Bruno,70.25650105240311,55.5,4
Sunday,04-May-14,31.150778005234947,Laura,West,Salvatore,71.1514407703671,46.1,2
Sunday,04-May-14,27.50937780486007,Melissa,East,Domenico,71.71698919318598,51.1,5
Sunday,04-May-14,26.16803659145503,Melissa,East,Luigi,65.20409692332908,33.3,2
Sunday,04-May-14,28.86299164339374,Laura,West,Mario,58.01855490823907,47.9,2
Sunday,04-May-14,37.282550350761774,Laura,Centre,Salvatore,72.43108771147277,55.3,7
Sunday,04-May-14,22.905834855985713,Melissa,East,Mario,68.7917522403408,50.7,5
Sunday,04-May-14,25.39328446091888,Laura,Centre,Salvatore,59.404065752521994,54.2,2
Sunday,04-May-14,29.355121389062337,Laura,East,Bruno,58.4042827698684,37.7,4
Sunday,04-May-14,36.53620472324354,Laura,West,Domenico,59.43082979137301,35.9,2
Sunday,04-May-14,25.176202892651528,Laura,East,Bruno,65.55750542593377,43.0,2
Sunday,04-May-14,36.99147827172915,Laura,Centre,Salvatore,66.26067058535351,44.3,7
Sunday,04-May-14,11.235189252082534,Laura,West,Salvatore,64.41352448808685,45.7,5
Sunday,04-May-14,23.964065935781377,Laura,Centre,Salvatore,59.13781210916624,50.7,4
Sunday,04-May-14,39.83311343246369,Laura,Centre,Bruno,63.890714745440434,43.5,3
Sunday,04-May-14,25.54004323690885,Melissa,Centre,Luigi,65.66542719088528,40.4,3
Sunday,04-May-14,31.173276452956966,Melissa,West,Bruno,57.29733354159328,63.7,2
Sunday,04-May-14,39.899805475934116,Laura,West,Domenico,70.87206401797908,22.3,1
Sunday,04-May-14,20.20651913271333,Melissa,West,Domenico,68.29178521964072,31.0,6
Sunday,04-May-14,27.141783636860147,Laura,West,Mario,69.3865047562926,39.0,4
Sunday,04-May-14,25.25170207874392,Laura,Centre,Bruno,61.58846147292941,55.7,5
Sunday,04-May-14,26.6816402924463,Melissa,Centre,Salvatore,68.44474264284474,46.7,4
Sunday,04-May-14,30.772292484397525,Melissa,West,Luigi,70.5240709863245,49.8,2
Sunday,04-May-14,26.40073357125106,Melissa,Centre,Mario,51.04546606841495,30.4,4
Sunday,04-May-14,30.732595117245012,Laura,Centre,Luigi,55.279547681014726,36.8,3
Sunday,04-May-14,35.84097180612184,Laura,Centre,Salvatore,68.71455973191341,58.0,4
Sunday,04-May-14,23.0573517690312,Laura,West,Domenico,65.79264913275175,29.4,1
Sunday,04-May-14,29.113066553108016,Laura,East,Domenico,72.4846139567619,24.6,1
Sunday,04-May-14,26.141990005905534,Laura,Centre,Bruno,63.865713018511094,49.4,4
Sunday,04-May-14,30.060872217981682,Laura,Centre,Luigi,57.73336214068799,47.4,3
Sunday,04-May-14,27.54064574617925,Melissa,Centre,Salvatore,58.0405158451955,55.6,5
Sunday,04-May-14,30.69683332415595,Melissa,East,Domenico,84.15153500891948,30.8,1
Monday,05-May-14,15.92964174472327,Laura,Centre,Bruno,78.27121036294601,52.7,4
Monday,05-May-14,17.760370156630163,Laura,East,Salvatore,72.15810766256462,37.2,1
Monday,05-May-14,33.710791409146736,Laura,West,Salvatore,63.136799476980975,46.4,3
Monday,05-May-14,25.428706475107266,Laura,Centre,Bruno,69.48046881703857,67.5,6
Monday,05-May-14,23.16183503079413,Laura,East,Salvatore,61.815865960146944,33.8,5
Monday,05-May-14,24.964857650293922,Laura,East,Salvatore,66.02363346976726,51.9,4
Monday,05-May-14,31.52501749169779,Laura,East,Bruno,53.07670427096219,46.3,3
Monday,05-May-14,29.868313787400407,Laura,West,Salvatore,55.09728171991714,48.4,3
Monday,05-May-14,31.067540538278788,Laura,Centre,Bruno,56.78465653558346,60.0,4
Monday,05-May-14,31.60812721725288,Laura,Centre,Salvatore,73.60319660358641,43.6,6
Monday,05-May-14,27.430759141180115,Laura,East,Bruno,67.89412063544441,33.1,1
Monday,05-May-14,30.440428409224616,Laura,West,Bruno,80.50390657974316,45.6,2
Monday,05-May-14,40.12374743229018,Laura,Centre,Bruno,65.9002837874325,45.4,6
Monday,05-May-14,33.158167614921545,Laura,West,Salvatore,71.90827065433669,28.8,1
Monday,05-May-14,29.39826341770591,Laura,Centre,Bruno,64.38938797951504,57.4,3
Monday,05-May-14,32.880058741885925,Laura,East,Bruno,73.85034401194275,28.9,1
Monday,05-May-14,32.38294799217863,Laura,West,Bruno,66.9972678683299,54.8,2
Monday,05-May-14,21.220219346973536,Laura,East,Salvatore,70.69943547065907,36.2,4
Monday,05-May-14,31.924901792990106,Laura,Centre,Salvatore,55.980627827084454,41.6,2
Monday,05-May-14,31.236324796703386,Laura,West,Bruno,72.13325439948255,34.8,1
Monday,05-May-14,38.800370805917844,Laura,West,Salvatore,58.17595171930327,38.8,5
Monday,05-May-14,23.15496835278757,Laura,East,Salvatore,57.929129678573894,36.2,3
Monday,05-May-14,37.554182272125274,Laura,West,Bruno,67.99069146509723,60.4,5
Monday,05-May-14,34.125558883826926,Laura,Centre,Bruno,66.93840376362054,37.0,4
Monday,05-May-14,27.478071715124784,Laura,West,Bruno,69.59554919380649,58.2,3
Monday,05-May-14,31.592657901355167,Laura,Centre,Bruno,55.047103224266465,54.4,7
Monday,05-May-14,10.918981598423214,Laura,Centre,Salvatore,61.90661107869226,49.2,3
Monday,05-May-14,22.841736635767266,Laura,Centre,Bruno,62.24988638266214,59.4,4
Monday,05-May-14,16.654772584659437,Laura,East,Salvatore,69.87068700290422,41.9,3
Monday,05-May-14,26.936979222572838,Laura,West,Bruno,66.22188020442306,33.0,3
Monday,05-May-14,27.83220685024873,Laura,East,Bruno,64.68891869513536,38.0,3
Tuesday,06-May-14,29.661032493606463,Melissa,Centre,Mario,57.32628843337656,46.2,3
Tuesday,06-May-14,42.04071467286517,Melissa,West,Mario,55.51849640792386,51.4,2
Tuesday,06-May-14,30.870948341224533,Melissa,West,Bruno,61.93805242496908,56.6,6
Tuesday,06-May-14,24.069088555105488,Melissa,West,Bruno,71.41696534202259,64.4,4
Tuesday,06-May-14,21.15040230280536,Melissa,East,Bruno,56.04545050355821,26.1,2
Tuesday,06-May-14,35.46631827721182,Melissa,Centre,Mario,73.54851853004445,24.6,2
Tuesday,06-May-14,24.21642429329323,Melissa,East,Bruno,59.98519726374098,45.3,1
Tuesday,06-May-14,17.595512255493887,Melissa,West,Mario,77.32442935835181,34.6,4
Tuesday,06-May-14,28.57664161563913,Melissa,Centre,Bruno,65.98191168097955,53.7,4
Tuesday,06-May-14,13.795209045171438,Melissa,Centre,Mario,66.91162850778872,51.1,3
Tuesday,06-May-14,21.203581839122737,Melissa,East,Bruno,52.34908229900804,13.7,1
Tuesday,06-May-14,32.479187558072624,Melissa,East,Mario,64.52532377075487,19.3,1
Tuesday,06-May-14,25.376479962325764,Melissa,West,Bruno,58.40502141538038,53.9,4
Tuesday,06-May-14,31.422310096684395,Melissa,East,Mario,60.54621068383807,46.2,1
Tuesday,06-May-14,28.473276489876966,Melissa,East,Bruno,62.76419618693744,23.3,2
Tuesday,06-May-14,35.003267391882325,Melissa,West,Bruno,60.407886958950215,32.4,2
Tuesday,06-May-14,28.001803213718556,Melissa,East,Mario,57.910743249977465,59.2,3
Tuesday,06-May-14,26.400127283830038,Melissa,West,Bruno,60.58278023364665,53.4,5
Tuesday,06-May-14,36.452721303420674,Melissa,Centre,Mario,55.038862005979674,51.0,5
Tuesday,06-May-14,28.793925294058155,Melissa,Centre,Mario,73.05269239051415,52.9,4
Tuesday,06-May-14,36.224832365502174,Melissa,West,Bruno,61.92716584110691,59.1,4
Tuesday,06-May-14,33.39907592274183,Melissa,West,Mario,61.702919371781434,39.5,2
Tuesday,06-May-14,41.914702468033326,Melissa,Centre,Mario,64.29487739539185,42.4,3
Tuesday,06-May-14,12.225287711394989,Melissa,East,Mario,66.01834089656697,36.2,1
Tuesday,06-May-14,31.11692119385076,Melissa,East,Mario,61.21311636635949,36.2,4
Tuesday,06-May-14,30.740734792976927,Melissa,Centre,Bruno,62.71393416326278,49.6,4
Tuesday,06-May-14,25.19607384088924,Melissa,Centre,Bruno,73.14095162582724,48.6,4
Tuesday,06-May-14,22.032452312231428,Melissa,East,Bruno,61.96438648035598,10.6,1
Tuesday,06-May-14,31.91913529684145,Melissa,East,Mario,66.3992190835404,31.9,3
Tuesday,06-May-14,27.49205758187895,Melissa,West,Bruno,60.97283532822542,30.2,2
Tuesday,06-May-14,33.75345583588394,Melissa,Centre,Mario,67.81454768159658,44.6,2
Tuesday,06-May-14,36.1723521219752,Melissa,East,Mario,63.85291682475436,48.9,1
Tuesday,06-May-14,31.15075163804531,Melissa,West,Mario,52.15223302581623,48.7,5
Wednesday,07-May-14,22.022098997987424,Melissa,East,Salvatore,50.85181816809964,54.9,2
Wednesday,07-May-14,27.877385767899604,Laura,Centre,Salvatore,66.94452862292819,57.6,4
Wednesday,07-May-14,38.14010055070628,Melissa,West,Salvatore,67.19921243796756,55.1,2
Wednesday,07-May-14,28.08460054431747,Melissa,West,Mario,67.08335600950572,58.2,5
Wednesday,07-May-14,31.18183145065135,Melissa,East,Salvatore,64.83569888760229,28.6,2
Wednesday,07-May-14,27.1154010203547,Melissa,East,Mario,70.5621486515683,49.7,3
Wednesday,07-May-14,28.235767356237503,Melissa,Centre,Mario,71.98350908291914,44.3,4
Wednesday,07-May-14,23.542176382649203,Laura,East,Salvatore,46.956517405489215,50.4,3
Wednesday,07-May-14,28.769173136414796,Melissa,Centre,Salvatore,54.39633474809011,54.5,4
Wednesday,07-May-14,21.813746662163364,Laura,Centre,Mario,68.58868107117489,42.3,4
Wednesday,07-May-14,38.82860198366807,Melissa,Centre,Salvatore,52.95503895352517,42.7,4
Wednesday,07-May-14,29.699880314623496,Melissa,Centre,Salvatore,55.0118206923529,39.1,4
Wednesday,07-May-14,26.378645713280157,Laura,West,Mario,69.62846787200411,31.2,3
Wednesday,07-May-14,20.885083572814334,Laura,East,Mario,72.24386148514473,46.0,3
Wednesday,07-May-14,42.67988469752761,Melissa,West,Salvatore,58.64252436847564,58.8,2
Wednesday,07-May-14,27.69161860378241,Melissa,Centre,Mario,62.31684803512093,60.1,4
Wednesday,07-May-14,17.743760042074996,Laura,Centre,Mario,59.61233406341764,55.9,7
Wednesday,07-May-14,24.76188802147233,Laura,Centre,Salvatore,71.8847181270324,43.0,4
Wednesday,07-May-14,35.33711297400568,Laura,Centre,Salvatore,61.34434725057911,40.1,3
Wednesday,07-May-14,28.658046409029193,Laura,East,Mario,63.32698238918933,38.6,2
Wednesday,07-May-14,31.886726783030767,Melissa,East,Salvatore,56.01414350298524,35.9,1
Wednesday,07-May-14,27.73071843651588,Melissa,West,Salvatore,63.20662091983883,46.2,4
Wednesday,07-May-14,30.186421231725006,Laura,West,Salvatore,69.89164967343389,36.6,3
Wednesday,07-May-14,25.672598804441428,Melissa,Centre,Mario,54.887920156375955,56.3,3
Wednesday,07-May-14,35.848714504986575,Melissa,West,Mario,63.393847153625366,41.7,3
Wednesday,07-May-14,31.031420079805173,Laura,West,Mario,58.170321803560974,54.3,2
Wednesday,07-May-14,35.62185688444311,Melissa,Centre,Salvatore,71.56062634258983,54.7,3
Wednesday,07-May-14,28.12900658354909,Melissa,Centre,Mario,68.82264755349999,40.5,3
Wednesday,07-May-14,31.189950565505747,Melissa,West,Salvatore,71.95993534011478,57.6,3
Wednesday,07-May-14,18.062029113650397,Melissa,East,Salvatore,66.44605598257598,40.2,4
Wednesday,07-May-14,24.39445416148789,Laura,West,Mario,77.08182324899659,39.7,3
Wednesday,07-May-14,39.624453938532355,Melissa,West,Mario,77.46440792767186,39.9,2
Thursday,08-May-14,22.018359030006128,Laura,West,Mario,60.41735674224306,29.7,2
Thursday,08-May-14,29.537532411121784,Melissa,East,Bruno,61.47376566102323,39.0,3
Thursday,08-May-14,34.187547321790085,Melissa,Centre,Bruno,72.32479006867581,28.9,1
Thursday,08-May-14,33.929351142107556,Melissa,East,Mario,57.977177191124994,47.8,2
Thursday,08-May-14,26.501750314686696,Melissa,Centre,Bruno,64.56983581140746,43.5,4
Thursday,08-May-14,37.63257931582977,Laura,West,Mario,57.93146453303019,68.5,5
Thursday,08-May-14,33.735921975623825,Melissa,East,Salvatore,63.87431019932738,23.7,1
Thursday,08-May-14,23.55965823652161,Melissa,East,Salvatore,60.28494045252107,31.6,2
Thursday,08-May-14,20.53108618916734,Laura,West,Bruno,69.68132122188987,51.3,3
Thursday,08-May-14,35.851467960441475,Melissa,Centre,Bruno,63.04433136084418,53.6,4
Thursday,08-May-14,34.758988557329886,Laura,East,Bruno,64.40604596918291,37.3,5
Thursday,08-May-14,32.71073580321773,Laura,East,Bruno,66.07995241559108,31.7,3
