STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL PERCENT,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
17,AL,Alabama,4,H6AL04098,(I),Robert,Aderholt,"Aderholt, Robert",,R,Unopposed,,,,"132,831","98,57%",,,,,W,
18,AL,Alabama,4,n/a,,,,Scattered,,W,,,,,"1,921","1,43%",,,,,,
19,AL,Alabama,4,n/a,,,,,District Votes:,,,,,,"134,752",,,,,,,
20,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
21,AL,Alabama,5,H0AL05163,(I),Mo,Brooks,"Brooks, Mo",,R,"49,117","80,32%",,,"115,338","74,42%",,,,,W,
22,AL,Alabama,5,H4AL05074,,Jerry,Hill,"Hill, Jerry",,R,"12,038","19,68%",,,,,,,,,,
23,AL,Alabama,5,n/a,,,,,Party Votes:,R,"61,155",,,,,,,,,,,
24,AL,Alabama,5,H4AL05082,,Mark,Bray,"Bray, Mark",,IND,,,,,"39,005","25,17%",,,,,,
25,AL,Alabama,5,n/a,,,,Scattered,,W,,,,,631,"0,41%",,,,,,
26,AL,Alabama,5,n/a,,,,,District Votes:,,"61,155",,,,"154,974",,,,,,,
27,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
28,AL,Alabama,6,H4AL06098,,Gary,Palmer,"Palmer, Gary",,R,"18,655","19,73%","47,525","63,49%","135,945","76,18%",,,,,W,
29,AL,Alabama,6,H4AL06080,,Paul,DeMarco,"DeMarco, Paul",,R,"30,894","32,68%","27,333","36,51%",,,,,,,,
30,AL,Alabama,6,H2AL06126,,Scott,Beason,"Beason, Scott",,R,"14,451","15,29%",,,,,,,,,,
31,AL,Alabama,6,H4AL06072,,Chad,Mathis,"Mathis, Chad",,R,"14,42","15,25%",,,,,,,,,,
32,AL,Alabama,6,H4AL06106,,Will,Brooke,,,R,"13,13","13,89%",,,,,,,,,,
33,AL,Alabama,6,H4AL06114,,Tom,Vigneulle,"Vigneulle, Tom",,R,"2,397","2,54%",,,,,,,,,,
34,AL,Alabama,6,H4AL06122,,Robert,Shattuck,"Shattuck, Robert",,R,587,"0,62%",,,,,,,,,,
35,AL,Alabama,6,n/a,,,,,Party Votes:,R,"94,534",,"74,858",,,,,,,,,
36,AL,Alabama,6,H4AL06148,,Mark,Lester,"Lester, Mark #",,D,#,,,,"42,291","23,70%",,,,,,# Avery Vise withdrew after the primary election and Mark Lester was selected by the party to fill the vacancy on the general election ballot.
37,AL,Alabama,6,H4AL06130,,Avery,Vise,"Vise, Avery #",,D,Unopposed,,,,,,,,,,,# Avery Vise withdrew after the primary election and Mark Lester was selected by the party to fill the vacancy on the general election ballot.
38,AL,Alabama,6,n/a,,,,Scattered,,W,,,,,213,"0,12%",,,,,,
39,AL,Alabama,6,n/a,,,,,District Votes:,,"94,534",,"74,858",,"178,449",,,,,,,
40,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
41,AL,Alabama,7,H0AL07086,(I),Terri A.,Sewell,"Sewell, Terri A.",,D,"74,953","83,91%",,,"133,687","98,37%",,,,,W,
42,AL,Alabama,7,H4AL07096,,Tamara Harris,Johnson,"Johnson, Tamara Harris",,D,"14,374","16,09%",,,,,,,,,,
43,AL,Alabama,7,n/a,,,,,Party Votes:,D,"89,327",,,,,,,,,,,
44,AL,Alabama,7,n/a,,,,Scattered,,W,,,,,"2,212","1,63%",,,,,,
45,AL,Alabama,7,n/a,,,,,District Votes:,,"89,327",,,,"135,899",,,,,,,
46,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
47,AL,Alabama,H,n/a,,,,,Total State Votes:,,"311,387",,"74,858",,1.080.880,,,,,,,
48,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
49,,,,n/a,,,,,,,,,,,,,,,,,,
50,AK,Alaska,0,H6AK00045,(I),Don,Young,"Young, Don",,R,"79,393","74,29%",,,"142,572","50,97%",,,,,W,
51,AK,Alaska,0,H0AK00097,,John R.,Cox,"Cox, John R.",,R,"14,497","13,57%",,,,,,,,,,
52,AK,Alaska,0,H4AK00149,,David  ,Seaward,"Seaward, David  ",,R,"7,604","7,12%",,,,,,,,,,
53,AK,Alaska,0,H4AK00131,,"David F. ""Dave""",Dohner,"Dohner, David F. ""Dave""",,R,"5,373","5,03%",,,,,,,,,,
54,AK,Alaska,0,n/a,,,,,Party Votes:,R,"106,867",,,,,,,,,,,
55,AK,Alaska,0,H4AK00123,,Forrest ,Dunbar,"Dunbar, Forrest ",,D,"38,735","80,92%",,,"114,602","40,97%",,,,,,
56,AK,Alaska,0,H4AK00057,,Frank J.,Vondersaar,"Vondersaar, Frank J.",,D,"9,132","19,08%",,,,,,,,,,
57,AK,Alaska,0,n/a,,,,,Party Votes:,D,"47,867",,,,,,,,,,,
58,AK,Alaska,0,H2AK00143,,Jim C.,McDermott,"McDermott, Jim C.",,LIB,"13,437","100,00%",,,"21,29","7,61%",,,,,,
59,AK,Alaska,0,n/a,,,,,Party Votes:,LIB,"13,437",,,,,,,,,,,
60,AK,Alaska,0,n/a,,,,Scattered,,W,,,,,"1,277","0,46%",,,,,,
61,AK,Alaska,0,n/a,,,,,District Votes:,,"168,171",,,,"279,741",,,,,,,
62,AK,Alaska,H,n/a,,,,,Total State Votes:,,"168,171",,,,"279,741",,,,,,,
63,AK,Alaska,,n/a,,,,,,,,,,,,,,,,,,
64,AK,Alaska,,n/a,,,,,,,,,,,,,,,,,,
65,,,,n/a,,,,,,,,,,,,,,,,,,
66,AS,American Samoa,0,H4AS00036,,Aumua,Amata,"Amata, Aumua",,R,,,,,"4,306","42,03%",,,,,W,
67,AS,American Samoa,0,H0AS00018,(I),Eni F. H.,Faleomavaega,"Faleomavaega, Eni F. H.",,D,,,,,"3,157","30,81%",,,,,,
68,AS,American Samoa,0,H4AS00085,,Togiola,Tulafono,"Tulafono, Togiola",,D,,,,,"1,13","11,03%",,,,,,
69,AS,American Samoa,0,H4AS00069,,Mapu S.,Jamias,,,D,,,,,652,"6,36%",,,,,,
70,AS,American Samoa,0,H8AS00052,,Rosie Fuala'au Tago,Lancaster,"Lancaster, Rosie Fuala'au Tago",,IND,,,,,268,"2,62%",,,,,,
71,AS,American Samoa,0,H4AS00093,,Meleagi,Suitonu-Chapman,"Suitonu-Chapman, Meleagi",,D,,,,,229,"2,24%",,,,,,
72,AS,American Samoa,0,H2AS00030,,Tuika,Tuika,"Tuika, Tuika",,IND,,,,,201,"1,96%",,,,,,
73,AS,American Samoa,0,H2AS00055,,"Tu_'au Kereti, Jr.",M_ta'utia,"M_ta'utia, Tu_'au Kereti, Jr.",,D,,,,,160,"1,56%",,,,,,
74,AS,American Samoa,0,H4AS00077,,Mark,Ude,"Ude, Mark",,IND,,,,,143,"1,40%",,,,,,
75,AS,American Samoa,,n/a,,,,,District Votes:,,,,,,"10,246",,,,,,,
76,AS,American Samoa,H,n/a,,,,,Total State Votes:,,,,,,"10,246",,,,,,,
77,,,,n/a,,,,,,,,,,,,,,,,,,
78,AZ,Arizona,1,H8AZ01104 ,(I),Ann,Kirkpatrick,"Kirkpatrick, Ann",,D,"51,393","100,00%",,,"97,391","52,61%",,,,,W,
79,AZ,Arizona,1,n/a,,,,,Party Votes:,D,"51,393",,,,,,,,,,,
80,AZ,Arizona,1,H0AZ01325 ,,Andy,Tobin,"Tobin, Andy",,R,"18,814","35,85%",,,"87,723","47,39%",,,,,,
81,AZ,Arizona,1,H4AZ01145 ,,Gary,Kiehne,"Kiehne, Gary",,R,"18,407","35,07%",,,,,,,,,,
82,AZ,Arizona,1,H4AZ01152 ,,Adam,Kwasman,"Kwasman, Adam",,R,"15,266","29,09%",,,,,,,,,,
83,AZ,Arizona,1,n/a,,,,,Party Votes:,R,"52,487",,,,,,,,,,,
84,AZ,Arizona,1,n/a,,,,,District Votes:,,"103,88",,,,"185,114",,,,,,,
85,AZ,Arizona,2,H2AZ08102 ,,Martha ,McSally,,,R,"45,492","69,36%",,,"109,714","50,01%",,,,,W,
86,AZ,Arizona,2,H4AZ02143 ,,Chuck,Wooten,"Wooten, Chuck",,R,"14,995","22,86%",,,,,,,,,,
87,AZ,Arizona,2,H4AZ02135 ,,Shelley,Kais,"Kais, Shelley",,R,"5,103","7,78%",,,,,,,,,,
88,AZ,Arizona,2,n/a,,,,,Party Votes:,R,"65,59",,,,,,,,,,,
89,AZ,Arizona,2,H2AZ08094,(I),Ron,Barber,"Barber, Ron",,D,"49,039","100,00%",,,"109,547","49,94%",,,,,,
90,AZ,Arizona,2,n/a,,,,,Party Votes:,D,"49,039",,,,,,,,,,,
91,AZ,Arizona,2,H4AZ02150,,Sampson U.,Ramirez,"Ramirez, Sampson U.",,W,,,,,56,"0,03%",,,,,,
92,AZ,Arizona,2,H4AZ02168,,Sydney,Dudikoff,,,W,,,,,48,"0,02%",,,,,,
93,AZ,Arizona,2,n/a,,,,,District Votes:,,"114,629",,,,"219,365",,,,,,,
94,AZ,Arizona,3,H2AZ07070 ,(I),Raul ,Grijalva,"Grijalva, Raul ",,D,"28,758","100,00%",,,"58,192","55,72%",,,,,W,
95,AZ,Arizona,3,n/a,,,,,Party Votes:,D,"28,758",,,,,,,,,,,
96,AZ,Arizona,3,H2AZ07146,,Gabby,Saucedo Mercer,"Saucedo Mercer, Gabby",,R,"18,823","100,00%",,,"46,185","44,23%",,,,,,
97,AZ,Arizona,3,n/a,,,,,Party Votes:,R,"18,823",,,,,,,,,,,
98,AZ,Arizona,3,H4AZ03075,,F.,Sﾇnchez,"Sﾇnchez, F.",,W,,,,,43,"0,04%",,,,,,
99,AZ,Arizona,3,H4AZ03083 ,,Lee,Thompson,"Thompson, Lee",,W,,,,,8,"0,01%",,,,,,
100,AZ,Arizona,3,n/a,,,,,District Votes:,,"47,581",,,,"104,428",,,,,,,
101,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
102,AZ,Arizona,4,H0AZ01259 ,(I),Paul,Gosar,,,R,"65,354","100,00%",,,"122,56","69,96%",,,,,W,
103,AZ,Arizona,4,n/a,,,,,Party Votes:,R,"65,354",,,,,,,,,,,
104,AZ,Arizona,4,H2AZ04143,,Mike,Weisser,"Weisser, Mike",,D,"19,643","100,00%",,,"45,179","25,79%",,,,,,
105,AZ,Arizona,4,n/a,,,,,Party Votes:,D,"19,643",,,,,,,,,,,
106,AZ,Arizona,4,H4AZ04099,,Chris,Rike,"Rike, Chris",,W(LIB)/LIB,29,"100,00%",,,"7,44","4,25%",,,,,,
107,AZ,Arizona,4,n/a,,,,,Party Votes:,LIB,29,,,,,,,,,,,
108,AZ,Arizona,4,n/a,,,,,District Votes:,,"85,026",,,,"175,179",,,,,,,
109,AZ,Arizona,5,H4AZ01038 ,(I),Matt,Salmon,,,R,"71,69","100,00%",,,"124,867","69,58%",,,,,W,
110,AZ,Arizona,5,n/a,,,,,Party Votes:,R,"71,69",,,,,,,,,,,
111,AZ,Arizona,5,H4AZ05088,,James,Woods,"Woods, James",,D,"20,249","100,00%",,,"54,596","30,42%",,,,,,
112,AZ,Arizona,5,n/a,,,,,Party Votes:,D,"20,249",,,,,,,,,,,
113,AZ,Arizona,5,n/a,,,,,District Votes:,,"91,939",,,,"179,463",,,,,,,
114,AZ,Arizona,6,H4AZ06045,(I),David ,Schweikert,"Schweikert, David ",,R,"69,902","100,00%",,,"129,578","64,86%",,,,,W,
115,AZ,Arizona,6,n/a,,,,,Party Votes:,R,"69,902",,,,,,,,,,,
116,AZ,Arizona,6,H2AZ05132,,W. John,Williamson,"Williamson, W. John",,D,"25,306","100,00%",,,"70,198","35,14%",,,,,,
117,AZ,Arizona,6,n/a,,,,,Party Votes:,D,"25,306",,,,,,,,,,,
118,AZ,Arizona,6,n/a,,,,,District Votes:,,"95,208",,,,"199,776",,,,,,,
119,AZ,Arizona,7,H4AZ07043 ,,Ruben,Gallego,"Gallego, Ruben",,D,"14,936","48,90%",,,"54,235","74,85%",,,,,W,
120,AZ,Arizona,7,H4AZ07068,,Mary Rose,Wilcox,"Wilcox, Mary Rose",,D,"11,077","36,27%",,,,,,,,,,
121,AZ,Arizona,7,H2AZ02220 ,,Randy ,Camacho,"Camacho, Randy ",,D,"2,33","7,63%",,,,,,,,,,
122,AZ,Arizona,7,H4AZ07076,,Jarrett,Maupin,"Maupin, Jarrett",,D,"2,199","7,20%",,,,,,,,,,
123,AZ,Arizona,7,n/a,,,,,Party Votes:,D,"30,542",,,,,,,,,,,
124,AZ,Arizona,7,H6AZ07022,,Joe,Cobb,"Cobb, Joe",,LIB,300,"100,00%",,,"10,715","14,79%",,,,,,
125,AZ,Arizona,7,n/a,,,,,Party Votes:,LIB,300,,,,,,,,,,,
126,AZ,Arizona,7,H8AZ04116,,Rebecca,DeWitt,"DeWitt, Rebecca",,W(AE)/AE,4,"100,00%",,,"3,858","5,32%",,,,,,
127,AZ,Arizona,7,n/a,,,,,Party Votes:,AE,4,,,,,,,,,,,
128,AZ,Arizona,7,H0AZ04501,,Josﾎ,Peﾖalosa,"Peﾖalosa, Josﾎ",,JP,,,,,"3,496","4,83%",,,,,,
129,AZ,Arizona,7,H4AZ07126,,Gary,Dunn,"Dunn, Gary",,W,,,,,129,"0,18%",,,,,,
130,AZ,Arizona,7,H4AZ07118,,Gustavo,Ortega,"Ortega, Gustavo",,W,,,,,17,"0,02%",,,,,,
131,AZ,Arizona,7,H4AZ07100,,Samuel,Esquivel,,,W,,,,,4,"0,01%",,,,,,
132,AZ,Arizona,7,n/a,,,,,District Votes:,,"30,846",,,,"72,454",,,,,,,
133,AZ,Arizona,8,H4AZ04024,(I),Trent,Franks,,,R,"53,771","73,26%",,,"128,71","75,81%",,,,,W,
134,AZ,Arizona,8,H4AZ08066,,Clair,Van Steenwyk,"Van Steenwyk, Clair",,R,"19,629","26,74%",,,,,,,,,,
135,AZ,Arizona,8,n/a,,,,,Party Votes:,R,"73,4",,,,,,,,,,,
136,AZ,Arizona,8,H2AZ08151,,Stephen,Dolgos,"Dolgos, Stephen",,W(AE)/AE,2,"100,00%",,,"41,066","24,19%",,,,,,
137,AZ,Arizona,8,n/a,,,,,Party Votes:,AE,2,,,,,,,,,,,
138,AZ,Arizona,8,n/a,,,,,District Votes:,,"73,402",,,,"169,776",,,,,,,
139,AZ,Arizona,9,H2AZ09019 ,(I),Kyrsten,Sinema,"Sinema, Kyrsten",,D,"31,9","100,00%",,,"88,609","54,68%",,,,,W,
140,AZ,Arizona,9,n/a,,,,,Party Votes:,D,"31,9",,,,,,,,,,,
141,AZ,Arizona,9,H2AZ09035 ,,Wendy,Rogers,,,R,"30,484","60,61%",,,"67,841","41,86%",,,,,,
142,AZ,Arizona,9,H4AZ09023 ,,Andrew,Walter,"Walter, Andrew",,R,"19,808","39,39%",,,,,,,,,,
143,AZ,Arizona,9,n/a,,,,,Party Votes:,R,"50,292",,,,,,,,,,,
144,AZ,Arizona,9,H4AZ02119,,Powell,Gammill,"Gammill, Powell",,W(LIB)/LIB,52,"100,00%",,,"5,612","3,46%",,,,,,
145,AZ,Arizona,9,n/a,,,,,Party Votes:,LIB,52,,,,,,,,,,,
146,AZ,Arizona,9,n/a,,,,,District Votes:,,"82,244",,,,"162,062",,,,,,,
147,AZ,Arizona,H,n/a,,,,,Total State Votes:,,"724,755",,,,1.467.617,,,,,,,
148,,,,n/a,,,,,,,,,,,,,,,,,,
149,AR,Arkansas,1,H0AR01083,(I),Rick ,Crawford,"Crawford, Rick ",,R,Unopposed,,,,"124,139","63,25%",,,,,W,
150,AR,Arkansas,1,H4AR01051 ,,Jackie,McPherson,"McPherson, Jackie",,D,Unopposed,,,,"63,555","32,38%",,,,,,
151,AR,Arkansas,1,H4AR01069,,Brian Scott,Willhite,"Willhite, Brian Scott",,LIB,Unopposed,,,,"8,562","4,36%",,,,,,
152,AR,Arkansas,1,n/a,,,,,District Votes:,,,,,,"196,256",,,,,,,
153,AR,Arkansas,2,H4AR02141 ,,French ,Hill,"Hill, French ",,R,"29,916","55,08%",,,"123,073","51,86%",,,,,W,
154,AR,Arkansas,2,H4AR02158 ,,Ann,Clemmer,"Clemmer, Ann",,R,"12,4","22,83%",,,,,,,,,,
155,AR,Arkansas,2,H4AR02166 ,,Conrad,Reynolds,"Reynolds, Conrad",,R,"11,994","22,08%",,,,,,,,,,
156,AR,Arkansas,2,n/a,,,,,Party Votes:,R,"54,31",,,,,,,,,,,
157,AR,Arkansas,2,H4AR02133 ,,Patrick Henry,Hays,,,D,Unopposed,,,,"103,477","43,60%",,,,,,
158,AR,Arkansas,2,H4AR02174 ,,Debbie ,Standiford,"Standiford, Debbie ",,LIB,Unopposed,,,,"10,59","4,46%",,,,,,
159,AR,Arkansas,2,H4AR02182 ,,Charles,Neely,"Neely, Charles",,W,,,,,190,"0,08%",,,,,,
160,AR,Arkansas,2,n/a,,,,,District Votes:,,"54,31",,,,"237,33",,,,,,,
161,AR,Arkansas,3,H0AR03055 ,(I),Steve,Womack,"Womack, Steve",,R,Unopposed,,,,"151,63","79,41%",,,,,W,
162,AR,Arkansas,3,H4AR03057,,Grant ,Brand,,,LIB,Unopposed,,,,"39,305","20,59%",,,,,,
163,AR,Arkansas,3,n/a,,,,,District Votes:,,,,,,"190,935",,,,,,,
164,AR,Arkansas,4,H4AR04048 ,,Bruce,Westerman,"Westerman, Bruce",,R,"18,719","54,45%",,,"110,789","53,75%",,,,,W,
165,AR,Arkansas,4,H4AR04055 ,,Tommy ,Moll,"Moll, Tommy ",,R,"15,659","45,55%",,,,,,,,,,
166,AR,Arkansas,4,n/a,,,,,Party Votes:,R,"34,378",,,,,,,,,,,
167,AR,Arkansas,4,H4AR04063 ,,James Lee,Witt,"Witt, James Lee",,D,Unopposed,,,,"87,742","42,57%",,,,,,
168,AR,Arkansas,4,H4AR04071,,Ken,Hamilton,"Hamilton, Ken",,LIB,Unopposed,,,,"7,598","3,69%",,,,,,
169,AR,Arkansas,4,H4AR04030 ,,Janis K.,Percefull,,,W,,,,,2,"0,00%",,,,,,
170,AR,Arkansas,4,n/a,,,,,District Votes:,,"34,378",,,,"206,131",,,,,,,
171,AR,Arkansas,H,n/a,,,,,Total State Votes:,,"88,688",,,,"830,652",,,,,,,
172,AR,Arkansas,,n/a,,,,,,,,,,,,,,,,,,
173,,,,n/a,,,,,,,,,,,,,,,,,,
174,CA,California,1,H2CA02142,(I),Doug,La Malfa,"La Malfa, Doug",,R,"75,317","53,45%",,,"132,052","61,03%",,,,,W,
175,CA,California,1,H4CA01066,,Heidi,Hall,"Hall, Heidi",,D,"42,481","30,15%",,,"84,32","38,97%",,,,,,
176,CA,California,1,H2CA01136,,Gregory,Cheadle,"Cheadle, Gregory",,R,"13,909","9,87%",,,,,,,,,,
177,CA,California,1,H4CA01074,,Dan,Levine,"Levine, Dan",,D,"9,213","6,54%",,,,,,,,,,
178,CA,California,1,n/a,,,,,District Votes:,,"140,92",,,,"216,372",,,,,,,
179,CA,California,2,H2CA06259,(I),Jared,Huffman,"Huffman, Jared",,D,"99,186","67,91%",,,"163,124","74,99%",,,,,W,
180,CA,California,2,H4CA02098,,Dale K.,Mensing,"Mensing, Dale K.",,R,"32,614","22,33%",,,"54,4","25,01%",,,,,,
181,CA,California,2,H2CA02118,,Andy,Caffrey,"Caffrey, Andy",,D,"14,245","9,75%",,,,,,,,,,
182,CA,California,2,n/a,,,,,District Votes:,,"146,045",,,,"217,524",,,,,,,
183,CA,California,3,H0CA10149,(I),John,Garamendi,"Garamendi, John",,D,"54,672","53,48%",,,"79,224","52,72%",,,,,W,
184,CA,California,3,H4CA03096,,Dan,Logue,"Logue, Dan",,R,"47,56","46,52%",,,"71,036","47,28%",,,,,,
185,CA,California,3,n/a,,,,,District Votes:,,"102,232",,,,"150,26",,,,,,,
186,CA,California,4,H8CA04152,(I),Tom,McClintock,,,R,"80,999","56,19%",,,"126,784","60,05%",,,,,W,
187,CA,California,4,H4CA04102,,"Arthur ""Art""",Moore,"Moore, Arthur ""Art""",,R,"32,855","22,79%",,,"84,35","39,95%",,,,,,
188,CA,California,4,H4CA04110,,Jeffrey D.,Gerlach,"Gerlach, Jeffrey D.",,NOP,"30,3","21,02%",,,,,,,,,,
189,CA,California,4,n/a,,,,,District Votes:,,"144,154",,,,"211,134",,,,,,,
190,CA,California,5,H8CA01109,(I),Mike,Thompson,"Thompson, Mike",,D,"88,709","80,44%",,,"129,613","75,73%",,,,,W,
191,CA,California,5,H4CA05257,,James,Hinton,"Hinton, James",,NOP,"12,292","11,15%",,,"41,535","24,27%",,,,,,
192,CA,California,5,H4CA11099,,Douglas S.,Van Raam,"Van Raam, Douglas S.",,NOP,"9,279","8,41%",,,,,,,,,,
193,CA,California,5,n/a,,,,,District Votes:,,"110,28",,,,"171,148",,,,,,,
194,CA,California,6,H6CA05195,(I),Doris,Matsui,"Matsui, Doris",,D,"62,64","73,60%",,,"97,008","72,69%",,,,,W,
195,CA,California,6,H2CA06291,,"Joseph, Sr.",McCray,,,R,"22,465","26,40%",,,"36,448","27,31%",,,,,,
196,CA,California,6,n/a,,,,,District Votes:,,"85,105",,,,"133,456",,,,,,,
197,CA,California,7,H0CA03078,(I),Ami,Bera,"Bera, Ami",,D,"51,878","46,72%",,,"92,521","50,40%",,,,,W,
198,CA,California,7,H8CA03105,,Doug,Ose,"Ose, Doug",,R,"29,307","26,39%",,,"91,066","49,60%",,,,,,
199,CA,California,7,H4CA07055,,Igor,Birman,"Birman, Igor",,R,"19,431","17,50%",,,,,,,,,,
200,CA,California,7,H0CA11352,,Elizabeth,Emken,"Emken, Elizabeth",,R,"7,924","7,14%",,,,,,,,,,
201,CA,California,7,H8CA05134,,Douglas Arthur,Tuma,"Tuma, Douglas Arthur",,LIB,"1,629","1,47%",,,,,,,,,,
202,CA,California,7,H4CA07063,,Phill A.,Tufi,"Tufi, Phill A.",,NOP,869,"0,78%",,,,,,,,,,
203,CA,California,7,n/a,,,,,District Votes:,,"111,038",,,,"183,587",,,,,,,
204,CA,California,8,H2CA08164,(I),Paul,Cook,"Cook, Paul",,R,"40,007","58,10%",,,"77,48","67,65%",,,,,W,
205,CA,California,8,H6CA40234,,Bob,Conaway,,,D,"12,885","18,71%",,,"37,056","32,35%",,,,,,
206,CA,California,8,H4CA08103,,Paul,Hannosh,"Hannosh, Paul",,R,"9,037","13,12%",,,,,,,,,,
207,CA,California,8,H4CA08129,,Odessia D.,Lee,,,D,"6,93","10,06%",,,,,,,,,,
208,CA,California,8,n/a,,,,,District Votes:,,"68,859",,,,"114,536",,,,,,,
209,CA,California,9,H4CA11081,(I),Jerry,McNerney,"McNerney, Jerry",,D,"38,295","49,38%",,,"63,475","52,37%",,,,,W,
210,CA,California,9,H0CA11337,,"Antonio C. ""Tony""",Amador,"Amador, Antonio C. ""Tony""",,R,"20,424","26,34%",,,"57,729","47,63%",,,,,,
211,CA,California,9,H4CA09069,,Steve Anthony,Colangelo,,,R,"14,195","18,30%",,,,,,,,,,
212,CA,California,9,H4CA09077,,"Karen ""Mathews""",Davis,"Davis, Karen ""Mathews""",,R,"4,637","5,98%",,,,,,,,,,
213,CA,California,9,n/a,,,,,District Votes:,,"77,551",,,,"121,204",,,,,,,
214,CA,California,10,H0CA19173,(I),Jeff,Denham,,,R,"44,237","58,94%",,,"70,582","56,15%",,,,,W,
215,CA,California,10,H4CA10075,,Michael,Eggman,"Eggman, Michael",,D,"19,804","26,39%",,,"55,123","43,85%",,,,,,
216,CA,California,10,H2CA00096,,"Michael J. ""Mike""",Barkley,"Barkley, Michael J. ""Mike""",,D,"11,005","14,66%",,,,,,,,,,
217,CA,California,10,H0CA11360,,David Paul,Christensen,"Christensen, David Paul",,W(NOP),2,"0,00%",,,,,,,,,,
218,CA,California,10,n/a,,,,,District Votes:,,"75,048",,,,"125,705",,,,,,,
219,CA,California,11,H0CA10073,,Mark,Desaulnier,"Desaulnier, Mark",,D,"59,605","58,80%",,,"117,502","67,27%",,,,,W,
220,CA,California,11,H4CA11107,,Tue,Phan,"Phan, Tue",,R,"28,242","27,86%",,,"57,16","32,73%",,,,,,
221,CA,California,11,H2CA11168,,Cheryl,Sudduth,,,D,"4,913","4,85%",,,,,,,,,,
222,CA,California,11,H4CA11115,,Tony,Daysog,"Daysog, Tony",,D,"3,482","3,44%",,,,,,,,,,
223,CA,California,11,H4CA11131,,Jason,Ramey,"Ramey, Jason",,NOP,"2,673","2,64%",,,,,,,,,,
224,CA,California,11,H4CA11123,,Ki,Ingersol,"Ingersol, Ki",,D,"2,313","2,28%",,,,,,,,,,
225,CA,California,11,H8CA07031,,Virginia,Fuller,"Fuller, Virginia",,W(AIP),140,"0,14%",,,,,,,,,,
226,CA,California,11,n/a,,,,,District Votes:,,"101,368",,,,"174,662",,,,,,,
227,CA,California,12,H8CA05035,(I),Nancy,Pelosi,"Pelosi, Nancy",,D,"79,816","73,61%",,,"160,067","83,25%",,,,,W,
228,CA,California,12,H0CA08069,,John,Dennis,"Dennis, John",,R,"12,922","11,92%",,,"32,197","16,75%",,,,,,
229,CA,California,12,H4CA12089,,Barry,Hermanson,"Hermanson, Barry",,GRE,"6,156","5,68%",,,,,,,,,,
