S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,Game
3,13,24,32,2,11,23,33,1,13,20,28,33,3,12,21,33,2,13,20,197,184,160,128,528,517,494,544,743,730,730,702,802,999,987,966,1016,1066,1053,1053,fake
8,10,15,22,26,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,192,192,177,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,real
3,13,22,28,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,197,184,84,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fake
10,17,24,34,1,11,17,21,32,1,11,17,29,34,2,5,12,19,28,37,200,300,276,242,441,430,330,309,277,476,465,665,636,602,902,897,885,866,838,801,fake
10,17,28,38,7,18,22,32,39,2,12,19,26,34,5,12,22,30,30,30,200,400,372,334,634,616,666,634,595,895,883,864,838,804,999,987,837,837,827,817,fake
7,16,22,32,1,7,17,23,27,35,37,5,9,15,23,29,38,5,12,21,300,284,334,302,501,351,251,228,201,166,129,324,315,300,277,248,210,405,393,372,real
6,10,19,23,30,30,30,12,21,32,39,7,13,18,24,30,18,22,22,22,194,194,175,152,152,142,132,120,99,67,28,78,65,47,23,23,5,0,0,0,real
11,22,33,3,12,25,31,37,8,19,29,0,10,20,27,35,6,14,26,31,189,89,139,336,324,299,268,231,423,404,375,575,575,575,548,513,707,693,667,636,fake
7,12,16,23,32,37,2,8,12,22,28,37,6,14,23,30,30,30,30,30,300,288,272,249,217,180,580,572,560,760,732,695,889,875,852,852,842,832,822,812,real
10,16,22,26,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,200,184,34,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,real
7,13,22,29,33,36,3,9,13,21,31,33,38,2,12,19,31,2,9,11,300,287,387,358,458,508,705,696,683,662,631,681,643,893,881,862,831,1131,1122,1111,real
7,14,26,35,7,15,22,28,37,2,10,17,27,36,6,16,25,31,39,7,300,286,260,225,275,260,360,332,295,345,345,445,418,518,712,696,671,640,601,1001,fake
4,11,19,25,32,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,196,185,166,141,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,real
6,14,22,30,30,20,25,32,1,6,10,15,23,30,30,30,30,30,22,28,194,180,80,80,70,70,45,13,212,206,206,191,168,168,158,148,138,128,28,0,real
8,12,18,31,39,6,12,20,30,30,30,30,30,18,23,33,0,9,19,26,192,180,162,131,92,286,274,274,274,264,254,244,234,216,193,293,493,484,465,439,fake
7,14,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,50,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,real
6,14,20,23,34,6,16,23,25,31,38,0,11,20,30,22,27,39,11,20,194,180,180,157,123,317,301,278,253,222,184,384,373,373,373,573,546,507,696,696,fake
9,12,22,31,0,11,15,23,25,34,37,7,13,19,27,29,37,8,17,23,191,179,279,248,448,437,422,399,374,340,303,353,340,321,294,265,228,420,470,447,real
9,20,30,30,20,32,39,4,16,23,34,4,12,18,26,37,3,12,24,32,191,191,191,181,181,149,110,306,290,267,233,429,417,399,373,336,533,521,497,465,fake
8,15,25,33,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,192,177,152,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,real
7,11,22,30,30,30,30,30,14,27,38,8,15,23,33,39,5,7,16,21,300,289,489,489,479,469,459,449,435,408,370,562,547,524,374,335,530,380,364,343,fake
7,14,24,28,35,5,14,25,37,6,14,23,34,5,13,22,30,30,30,30,300,286,262,234,199,394,380,355,318,512,498,475,441,636,623,723,723,713,703,693,fake
9,20,25,28,37,2,11,17,27,30,30,30,30,30,30,30,30,30,30,30,191,191,166,138,101,401,390,290,263,263,253,243,233,223,213,203,193,183,173,163,real
3,6,12,16,26,29,38,1,12,23,32,37,4,10,15,26,35,2,5,8,197,191,179,163,137,108,70,269,257,234,202,165,361,361,346,320,285,585,580,572,real
10,19,27,33,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,200,181,154,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,real
10,20,24,34,4,14,25,32,37,6,15,25,33,38,8,16,22,27,34,2,200,200,176,142,338,324,299,267,230,424,409,384,484,446,638,622,822,795,761,1161,fake
8,11,23,33,39,6,14,25,33,3,9,12,25,35,6,13,22,33,39,7,192,181,158,358,319,513,499,474,374,571,562,550,525,490,684,671,771,871,832,1232,fake
9,12,17,25,32,1,7,18,26,37,3,7,15,21,25,29,0,9,13,17,191,179,229,204,172,371,271,253,227,190,387,237,222,201,176,147,347,338,325,525,real
10,15,25,33,39,11,21,29,1,11,19,32,39,11,20,27,34,4,11,24,200,185,160,210,171,360,339,310,509,498,479,447,408,597,597,570,536,732,721,697,fake
2,8,15,22,30,30,30,30,30,30,30,30,30,30,30,30,30,16,26,35,300,292,277,377,377,367,357,347,337,327,317,307,297,287,277,267,257,241,215,180,real
6,15,23,30,30,30,18,29,38,4,10,17,24,27,37,3,11,19,29,37,194,179,156,156,146,136,118,89,51,247,247,147,123,96,59,256,245,226,197,160,fake
5,14,18,29,31,37,3,14,17,23,26,30,30,30,20,24,31,36,6,13,195,181,163,134,103,66,263,249,449,426,400,400,390,380,380,356,325,175,369,356,real
3,13,22,34,5,9,19,26,34,0,6,12,15,19,28,36,1,13,23,34,197,184,284,250,445,436,417,391,357,557,551,539,524,505,477,577,776,763,740,706,real
12,24,33,5,17,26,36,6,13,24,33,1,9,15,27,33,38,6,13,26,188,164,64,259,109,83,133,327,314,290,140,339,330,315,288,488,450,644,631,605,fake
6,9,13,23,34,3,8,17,23,33,35,0,5,14,25,36,9,21,31,2,194,185,172,149,115,312,304,504,481,381,346,546,541,527,502,352,543,522,491,591,fake
6,18,31,1,4,13,21,28,36,6,14,25,34,7,15,24,34,7,12,15,194,176,145,344,340,327,306,278,328,522,508,483,449,849,834,810,776,1076,1064,1049,fake
10,18,28,35,8,19,27,37,4,11,21,26,34,3,11,23,30,16,24,32,200,182,154,119,311,292,265,228,424,413,392,366,332,529,518,495,495,479,455,423,fake
9,18,29,1,9,15,25,35,6,18,25,34,5,11,21,27,34,4,7,18,191,173,144,343,334,319,294,259,453,435,410,376,571,560,539,512,478,674,774,756,fake
7,11,21,28,34,1,7,15,23,33,39,6,11,18,24,30,16,21,29,38,400,389,368,340,306,505,605,590,567,767,728,922,911,893,869,869,853,832,803,765,real
9,16,28,35,7,12,23,33,39,7,13,23,30,30,30,20,30,30,20,31,191,175,147,112,412,400,377,427,388,688,675,652,652,642,632,632,632,622,622,591,fake
10,18,29,35,6,17,27,34,5,14,21,28,39,8,19,27,38,9,18,23,200,182,153,118,312,412,385,351,546,532,511,483,444,636,617,590,552,743,725,702,fake
7,18,21,30,30,30,30,30,30,30,30,20,27,37,8,18,24,35,4,8,300,282,261,261,251,241,231,221,211,201,191,191,164,127,319,301,277,242,438,430,fake
2,7,12,16,26,35,1,9,17,28,39,11,17,25,29,0,6,14,21,27,100,200,188,172,146,111,310,301,401,373,334,523,623,598,569,769,763,749,728,701,real
5,9,16,24,30,30,30,30,18,29,38,4,11,17,23,32,1,11,23,28,195,186,170,146,146,136,126,116,98,69,31,227,216,316,293,261,460,449,426,398,fake
8,10,19,28,32,1,7,17,23,33,39,9,21,25,30,30,30,30,30,30,192,192,173,145,113,312,162,262,239,89,50,241,220,195,195,185,175,165,155,145,real
11,19,31,37,5,9,16,24,32,2,12,17,28,39,8,18,28,33,3,7,189,170,139,102,297,288,272,248,216,516,504,354,326,287,479,461,433,283,480,680,fake
8,17,21,23,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,192,92,71,48,48,38,28,18,8,0,0,0,0,0,0,0,0,0,0,0,real
7,12,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,100,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,real
8,10,15,24,32,1,8,17,28,32,38,7,15,22,31,36,2,5,13,21,192,192,177,153,121,320,312,212,184,152,114,164,149,349,318,218,618,613,600,579,real
3,9,17,24,32,0,11,22,29,37,1,8,18,23,26,34,3,11,20,31,197,188,238,214,182,382,371,571,542,505,704,696,678,655,629,595,792,781,781,750,real
5,13,18,28,32,4,11,18,21,27,35,6,14,21,30,30,30,30,30,30,195,182,164,136,104,300,289,271,250,223,188,382,368,347,347,337,327,317,307,297,real
6,12,17,25,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,194,182,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,real
8,15,22,30,30,18,26,39,9,15,25,32,39,8,21,30,30,30,30,30,192,177,277,277,267,249,223,184,375,360,335,303,264,456,435,435,425,415,405,395,fake
5,14,23,34,0,9,13,17,24,36,39,2,7,16,25,33,39,5,12,24,195,181,158,124,324,315,302,402,378,578,539,639,689,673,648,698,659,854,842,818,real
7,14,19,28,38,5,9,21,27,33,36,5,9,20,22,26,31,37,4,13,250,236,217,189,151,346,337,316,289,189,39,234,225,225,125,99,68,31,227,214,real
11,19,26,30,30,18,23,29,32,0,7,12,19,27,33,3,13,20,28,33,189,170,144,144,134,116,93,64,32,232,282,270,251,224,124,321,308,308,280,180,real
7,17,21,28,33,36,2,8,16,24,34,3,10,18,27,34,37,8,14,22,300,150,129,101,151,51,301,293,277,253,219,416,416,398,371,337,300,492,478,528,real
7,14,22,27,35,38,3,11,20,24,31,0,4,11,17,21,30,30,30,20,400,386,236,209,174,136,333,322,322,298,267,467,463,452,552,531,531,521,511,511,real
11,15,22,31,1,10,17,27,38,10,16,26,38,2,14,23,30,30,30,30,189,174,274,243,442,442,492,465,427,627,611,585,547,597,583,560,560,550,540,530,fake
9,21,29,37,4,12,24,29,36,7,19,28,38,8,13,16,26,31,35,5,191,170,141,104,300,288,264,235,85,135,116,88,50,242,229,213,187,156,121,316,fake
5,12,21,28,0,7,16,22,31,1,9,21,30,30,30,30,30,30,30,30,195,183,162,134,334,434,418,468,437,636,627,606,606,596,586,576,566,556,546,536,fake
5,9,16,23,33,2,7,17,25,34,0,5,14,19,28,35,2,10,17,24,195,186,170,147,347,397,297,347,322,288,488,483,469,450,422,387,637,637,737,713,real
7,18,23,30,30,30,30,30,30,22,28,36,6,17,24,28,30,30,30,30,100,82,59,59,49,39,29,19,9,209,181,231,425,525,501,473,473,463,453,443,fake
7,16,23,35,2,10,13,18,29,38,2,12,19,25,35,4,9,12,18,22,250,234,211,176,426,426,413,395,366,328,378,366,347,322,287,483,474,462,444,294,real
8,20,31,0,11,19,24,33,1,10,17,20,32,1,10,22,27,35,5,15,192,192,161,361,350,331,307,507,706,706,806,806,774,973,973,1173,1146,1111,1306,1291,fake
11,19,28,33,38,7,18,26,36,3,14,23,34,38,5,15,23,35,0,12,189,170,142,192,154,454,436,410,460,657,643,620,586,548,743,728,705,670,870,858,fake
8,13,20,29,0,11,22,29,34,38,0,2,10,14,22,28,32,34,39,5,192,179,179,150,350,339,239,210,176,138,338,188,188,174,274,246,214,180,141,336,real
8,14,21,31,36,6,11,20,31,0,8,16,24,26,34,5,16,23,34,4,192,178,157,126,226,420,409,409,378,578,570,554,530,504,470,665,649,626,592,788,fake
8,15,21,29,38,1,7,19,26,33,5,11,15,22,30,30,30,30,30,30,192,177,156,127,89,288,488,469,443,543,738,727,712,812,812,802,792,782,772,762,fake
4,12,16,25,35,6,9,17,25,35,0,6,12,17,22,29,32,38,0,6,196,184,168,143,108,302,293,193,168,133,333,327,315,415,315,286,254,216,416,410,real
7,15,25,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,50,35,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,real
11,19,29,36,7,13,20,31,37,2,11,21,30,18,26,37,3,11,13,19,189,170,141,241,491,478,478,447,410,710,699,678,678,660,634,597,794,783,770,751,fake
7,16,26,34,4,11,22,33,1,14,24,33,3,9,17,26,36,5,11,17,400,384,358,324,520,509,409,309,508,494,470,370,567,558,658,632,682,877,866,966,fake
8,10,18,28,0,3,12,24,31,0,10,18,24,32,2,8,18,24,33,5,192,192,174,146,346,343,331,307,276,476,476,458,434,402,452,444,426,402,302,497,fake
7,14,26,38,8,14,21,32,0,9,16,25,34,2,11,17,24,33,3,10,250,236,210,172,364,350,329,297,497,488,472,447,413,513,502,352,328,528,725,725,fake
11,18,29,0,8,15,23,32,39,2,8,17,27,34,7,14,25,34,2,7,189,171,142,342,334,319,296,264,225,525,517,567,540,506,806,792,767,733,783,883,fake
10,20,27,36,5,13,20,29,35,7,15,24,32,4,14,21,33,3,13,23,200,200,173,373,568,555,555,526,491,791,776,752,720,916,902,881,731,928,915,892,fake
7,15,25,29,35,6,16,21,29,33,0,4,10,15,24,30,30,22,24,32,250,235,210,181,146,340,324,303,274,324,524,520,520,505,481,481,471,671,647,615,real
7,14,23,30,30,30,30,20,29,37,7,13,20,30,30,20,29,37,2,7,300,286,263,263,253,243,233,233,204,167,567,554,554,554,544,544,515,478,778,628,fake
8,13,19,25,36,3,6,15,24,31,0,5,7,15,25,33,0,7,17,22,192,179,160,135,185,382,376,361,337,306,506,501,351,336,311,361,561,411,261,461,real
6,11,17,23,29,31,36,2,12,20,26,31,35,4,6,16,25,34,4,6,194,183,383,360,331,300,500,600,588,588,562,531,496,692,686,670,645,611,807,801,real
5,13,17,26,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,195,182,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,real
8,15,18,24,29,37,2,5,10,15,23,32,35,4,16,19,23,34,1,10,192,177,159,135,106,69,119,114,114,99,76,44,9,205,189,170,147,113,312,312,real
5,12,15,22,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,195,183,168,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,real
7,12,20,29,0,11,18,22,32,0,6,16,21,33,4,14,21,30,20,29,50,38,38,9,209,198,180,280,248,448,442,426,405,505,701,687,666,666,666,637,fake
8,14,20,31,2,8,19,27,37,9,17,29,38,6,14,23,33,3,12,21,192,178,178,147,247,239,220,193,156,347,197,168,130,324,310,287,137,334,322,301,fake
7,17,24,35,2,11,22,28,33,33,33,33,33,33,33,33,33,33,33,33,400,300,276,241,291,280,130,102,0,0,0,0,0,0,0,0,0,0,0,0,fake
7,14,26,37,8,13,25,32,0,5,13,23,28,39,9,14,25,35,2,12,300,286,260,223,415,402,377,345,545,540,527,504,476,437,628,614,589,554,604,592,fake
7,17,26,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,50,150,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fake
10,20,25,34,38,7,16,27,30,30,30,30,12,22,30,16,26,30,30,30,200,200,175,141,103,403,387,360,360,350,340,330,318,168,168,152,126,126,116,106,real
13,18,28,34,0,5,13,20,28,39,9,15,20,32,2,10,19,27,32,34,187,169,141,107,307,302,289,289,261,222,413,398,398,366,416,416,397,370,338,304,fake
4,9,17,25,35,38,4,10,15,22,32,39,6,12,21,30,30,30,30,30,196,187,387,362,327,289,485,485,470,570,538,499,693,681,660,660,650,640,630,620,real
8,18,30,22,33,39,8,15,27,34,36,4,11,18,22,35,4,12,20,26,192,174,174,274,174,135,327,312,285,251,151,347,336,318,418,383,579,567,567,541,fake
8,15,23,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,192,177,154,154,144,134,124,114,104,94,84,74,64,54,44,34,24,14,4,0,real
6,15,26,35,1,12,18,28,37,8,14,21,28,34,4,11,18,27,32,36,194,179,153,118,317,305,287,259,222,414,400,379,351,317,513,502,484,457,425,625,fake
6,10,12,19,26,33,2,10,20,29,33,0,8,16,22,34,1,4,11,16,194,194,182,163,137,337,387,387,387,358,208,408,400,384,284,250,449,445,434,418,real
5,16,29,39,5,11,20,32,5,13,19,27,35,4,14,27,39,9,19,28,195,179,150,111,306,295,295,263,458,445,426,399,364,560,546,519,480,671,652,624,fake
5,12,22,28,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,195,183,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fake
10,20,30,14,24,32,4,14,16,22,30,30,20,26,38,7,18,26,36,7,200,200,200,186,162,130,326,312,296,496,496,486,486,460,422,722,704,678,878,928,fake
10,14,21,26,28,36,6,11,18,30,30,30,30,30,30,30,30,30,18,20,200,186,165,139,111,211,405,394,376,376,366,356,346,336,326,316,306,296,278,278,real
8,10,21,30,30,30,20,28,32,2,12,22,31,1,3,12,20,30,30,30,192,192,171,171,161,151,151,123,91,341,329,529,498,697,694,682,682,682,672,662,fake
12,23,29,35,39,6,12,23,28,32,1,6,13,24,30,20,28,38,4,16,188,165,136,101,62,256,244,221,193,161,360,354,341,317,317,317,289,251,447,431,fake
5,8,11,16,28,37,4,10,17,19,29,32,39,7,13,22,30,30,16,20,195,187,176,160,132,95,291,291,491,472,443,411,372,622,609,659,659,649,633,633,real
10,23,33,5,10,22,34,39,4,14,19,26,36,0,13,23,29,39,9,19,200,177,77,272,272,122,88,49,245,231,212,186,236,436,423,400,371,332,523,504,fake
6,10,12,18,24,31,38,6,15,23,31,38,8,16,24,30,14,23,33,0,194,194,182,164,140,109,71,265,250,227,196,158,350,334,310,310,296,273,473,673,real
11,15,25,36,5,13,18,25,32,0,7,10,15,23,31,37,1,6,12,23,189,174,149,49,244,231,213,188,156,356,206,206,191,168,137,100,299,293,281,258,fake
7,18,28,34,4,15,25,34,0,10,17,28,35,7,18,22,31,34,5,12,250,232,204,170,366,351,326,292,492,492,592,564,529,929,911,1011,980,946,1141,1129,fake
10,15,25,32,39,4,16,22,32,35,5,18,24,34,7,18,25,35,3,13,200,185,160,128,89,285,269,119,87,52,247,229,205,171,421,403,378,343,540,527,fake
10,13,18,27,36,4,15,27,31,1,7,15,18,25,35,4,14,23,32,0,200,187,169,142,42,238,223,196,165,364,464,449,431,406,371,567,553,530,498,698,fake
10,16,24,35,0,7,12,18,21,28,30,30,30,30,30,30,14,22,28,36,200,184,160,125,325,425,413,395,374,346,346,336,326,316,306,296,282,382,354,404,real
11,18,29,38,8,12,24,31,36,4,13,16,23,31,1,8,16,20,29,34,189,171,142,104,296,284,260,229,329,525,512,496,473,442,641,633,617,617,588,554,fake
5,13,22,25,29,39,4,15,19,24,33,1,9,20,29,36,4,13,23,30,195,182,232,207,178,139,335,320,301,277,477,676,667,667,638,838,1034,1021,998,998,real
10,21,33,0,4,14,22,30,30,30,30,30,30,30,30,30,30,30,30,30,200,179,279,479,475,461,511,511,501,491,481,471,461,451,441,431,421,411,401,391,fake
10,20,29,36,6,11,24,32,37,5,9,16,26,36,5,17,23,30,30,30,200,200,171,271,465,454,430,398,361,556,547,531,505,605,800,1000,977,977,967,957,fake
9,16,27,34,3,9,19,28,39,6,14,22,34,5,16,24,32,2,13,19,191,175,148,114,311,302,283,255,216,410,396,246,212,407,391,367,335,635,622,603,fake
9,17,25,32,3,13,17,24,27,32,32,32,32,32,32,32,32,32,32,32,191,91,66,34,231,218,68,44,17,0,0,0,0,0,0,0,0,0,0,0,real
4,8,15,21,32,37,0,7,15,19,29,36,7,16,26,33,0,3,10,16,196,188,173,152,120,83,283,383,368,349,320,420,470,454,428,278,478,475,475,459,real
11,22,28,35,5,8,19,24,32,39,8,16,27,33,38,1,10,20,27,37,189,389,361,326,521,513,494,470,438,399,591,575,548,448,410,609,609,609,582,545,fake
6,14,23,27,32,2,12,19,25,34,3,8,14,18,27,31,36,5,16,21,194,180,157,130,98,198,186,167,142,108,305,297,283,265,238,207,57,252,236,215,real
8,17,24,31,38,4,15,23,28,31,2,9,17,23,31,36,7,11,19,24,192,292,268,237,199,395,380,357,329,298,348,339,189,166,135,185,285,274,255,231,real
5,17,27,33,39,9,16,23,32,39,7,9,13,19,29,33,37,2,10,17,195,245,218,68,29,220,204,181,149,110,360,351,338,319,290,190,153,403,403,603,real
7,13,24,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,50,37,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fake
11,16,23,30,30,30,30,30,22,24,30,30,30,30,30,30,22,25,30,30,189,173,150,150,140,130,120,110,210,186,186,176,166,156,146,136,186,161,161,151,fake
6,11,20,25,32,35,39,5,14,25,28,35,2,9,14,21,30,30,30,22,194,183,183,158,126,91,52,247,233,208,180,145,245,236,222,201,201,191,181,231,real
4,13,20,27,38,5,15,24,33,1,6,13,24,34,4,12,20,30,30,30,196,183,183,156,118,313,298,274,124,323,317,304,280,246,442,430,430,430,420,410,fake
6,18,21,25,30,30,30,30,22,29,34,2,7,12,18,24,32,4,12,19,194,176,155,130,130,120,110,100,150,121,87,337,537,525,507,483,451,647,635,616,real
6,12,17,24,35,4,9,19,30,30,30,30,30,30,30,30,30,30,30,30,194,182,232,208,173,369,360,341,341,331,321,311,301,291,281,271,261,251,241,231,fake
5,15,27,35,8,16,21,29,38,5,15,19,30,30,16,23,35,0,9,17,195,180,153,118,310,294,273,244,206,401,386,367,367,357,341,318,283,483,474,674,fake
6,12,22,29,0,7,11,18,27,32,36,6,15,24,30,30,30,30,30,18,194,182,82,53,253,303,292,274,247,215,65,259,244,220,220,210,200,190,180,162,fake
10,17,28,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,200,50,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,real
9,13,24,36,9,18,24,35,6,13,20,28,30,30,30,30,18,29,38,8,191,178,154,254,445,427,403,368,562,549,549,521,521,511,501,491,473,444,406,598,fake
7,15,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fake
4,9,17,22,34,3,6,16,24,28,38,1,11,17,26,31,1,7,17,23,196,187,387,287,253,450,444,428,404,376,338,537,526,726,700,669,868,1068,968,945,real
8,18,26,36,7,17,24,34,2,10,19,30,30,30,30,30,30,30,30,30,192,174,148,248,648,698,674,640,940,940,921,921,911,901,891,881,871,861,851,841,fake
6,14,22,32,2,6,14,23,26,35,2,12,22,29,35,38,4,9,21,24,194,180,230,198,248,242,228,205,179,144,544,532,432,403,368,330,526,517,496,472,real
10,16,20,22,27,31,34,34,34,34,34,34,34,34,34,34,34,34,34,34,200,184,184,84,57,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,real
8,17,25,36,4,11,19,28,39,7,13,25,36,5,16,23,31,1,11,18,192,392,367,567,763,752,733,705,666,916,903,878,928,1123,1107,1084,1053,1252,1241,1223,fake
8,19,30,30,30,30,30,30,30,22,30,30,30,30,30,16,22,29,39,10,192,173,173,163,153,143,133,123,113,313,313,303,293,283,273,257,107,78,39,239,fake
11,23,29,34,2,13,20,27,34,4,10,17,24,33,3,15,24,31,38,3,189,166,137,103,153,140,140,113,79,275,275,325,301,151,348,333,309,278,240,437,real
7,15,22,25,34,2,7,18,27,34,2,11,17,20,28,34,3,7,12,19,400,385,285,260,226,276,126,108,81,47,97,86,136,136,108,74,271,471,459,440,real
9,19,30,22,31,36,6,15,20,27,37,4,10,22,28,36,4,15,24,33,191,172,172,222,191,91,285,270,270,243,206,402,402,302,274,174,370,355,331,231,fake
10,18,26,33,1,11,19,30,30,30,30,30,30,30,30,20,29,37,1,5,200,182,156,6,205,194,175,175,165,155,145,135,125,115,105,105,76,39,238,233,fake
12,23,29,0,6,14,26,32,2,13,20,30,30,30,14,25,31,37,7,12,188,165,136,336,330,316,290,258,358,345,345,345,335,325,311,286,255,218,268,256,fake
10,18,28,0,8,17,21,32,37,7,13,19,26,33,39,8,15,20,30,30,200,182,154,354,346,546,525,493,456,856,843,824,798,698,659,851,836,836,836,826,real
12,19,27,30,30,30,30,30,20,31,38,3,9,19,23,31,38,9,18,26,188,169,142,142,132,122,112,102,102,71,33,230,221,202,179,148,110,301,283,257,fake
10,20,29,34,3,9,17,28,37,5,7,14,21,33,2,9,15,25,35,4,200,200,171,137,334,325,225,197,160,355,205,191,170,220,620,611,596,571,536,732,fake
12,17,23,31,1,7,16,24,30,30,14,21,32,38,10,15,23,28,34,0,188,238,215,184,383,433,417,393,393,383,369,348,316,278,478,463,440,412,378,578,real
7,15,25,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,50,35,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fake
12,21,25,34,2,12,23,32,2,9,17,28,36,5,15,27,35,7,16,23,188,167,142,108,208,196,173,141,391,382,232,204,404,599,584,557,522,822,806,783,fake
5,15,23,35,3,10,18,26,34,3,9,21,29,35,2,10,16,25,34,1,195,180,157,122,319,319,301,275,241,438,429,408,379,344,744,744,728,703,669,868,fake
